# bins UNIT SHAM
7.500000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.250000000000000000e+01 1.693740000000000000e+05 0.000000000000000000e+00
3.750000000000000000e+01 2.626080000000000000e+06 0.000000000000000000e+00
5.250000000000000000e+01 1.863825700000000000e+07 0.000000000000000000e+00
6.750000000000000000e+01 3.954997900000000000e+07 0.000000000000000000e+00
8.250000000000000000e+01 3.915184200000000000e+07 0.000000000000000000e+00
9.750000000000000000e+01 2.729236900000000000e+07 0.000000000000000000e+00
1.125000000000000000e+02 1.711085600000000000e+07 0.000000000000000000e+00
1.275000000000000000e+02 1.049600500000000000e+07 0.000000000000000000e+00
1.425000000000000000e+02 6.570124000000000000e+06 0.000000000000000000e+00
1.575000000000000000e+02 4.257986000000000000e+06 0.000000000000000000e+00
1.725000000000000000e+02 2.876262000000000000e+06 0.000000000000000000e+00
1.875000000000000000e+02 2.001019000000000000e+06 0.000000000000000000e+00
2.025000000000000000e+02 1.435116000000000000e+06 1.666666666666666574e-01
2.175000000000000000e+02 1.053194000000000000e+06 1.699999999999999956e+00
2.325000000000000000e+02 7.895260000000000000e+05 1.173333333333333250e+01
2.475000000000000000e+02 6.020750000000000000e+05 5.383333333333333570e+01
2.625000000000000000e+02 4.665560000000000000e+05 1.650666666666666629e+02
2.775000000000000000e+02 3.660580000000000000e+05 4.213666666666666742e+02
2.925000000000000000e+02 2.910980000000000000e+05 8.653666666666666742e+02
3.075000000000000000e+02 2.346730000000000000e+05 1.506700000000000045e+03
3.225000000000000000e+02 1.895440000000000000e+05 2.286566666666666606e+03
3.375000000000000000e+02 1.545200000000000000e+05 3.130833333333333485e+03
3.525000000000000000e+02 1.279350000000000000e+05 3.989699999999999818e+03
3.675000000000000000e+02 1.056520000000000000e+05 4.694300000000000182e+03
3.825000000000000000e+02 8.752600000000000000e+04 5.209333333333333030e+03
3.975000000000000000e+02 7.352000000000000000e+04 5.545966666666666242e+03
4.125000000000000000e+02 6.202700000000000000e+04 5.665800000000000182e+03
4.275000000000000000e+02 5.280900000000000000e+04 5.619633333333333212e+03
4.425000000000000000e+02 4.486000000000000000e+04 5.402500000000000000e+03
4.575000000000000000e+02 3.799500000000000000e+04 5.080733333333333576e+03
4.725000000000000000e+02 3.290200000000000000e+04 4.739566666666666606e+03
4.875000000000000000e+02 2.832300000000000000e+04 4.291233333333333576e+03
5.025000000000000000e+02 2.421100000000000000e+04 3.838933333333333394e+03
5.175000000000000000e+02 2.087400000000000000e+04 3.408900000000000091e+03
5.325000000000000000e+02 1.822700000000000000e+04 3.014666666666666515e+03
5.475000000000000000e+02 1.558600000000000000e+04 2.584833333333333485e+03
5.625000000000000000e+02 1.375300000000000000e+04 2.273333333333333485e+03
5.775000000000000000e+02 1.202700000000000000e+04 1.978033333333333303e+03
5.925000000000000000e+02 1.037900000000000000e+04 1.687599999999999909e+03
6.075000000000000000e+02 9.080000000000000000e+03 1.452900000000000091e+03
6.225000000000000000e+02 7.982000000000000000e+03 1.262566666666666606e+03
6.375000000000000000e+02 7.007000000000000000e+03 1.101366666666666561e+03
6.525000000000000000e+02 6.189000000000000000e+03 9.548999999999999773e+02
6.675000000000000000e+02 5.455000000000000000e+03 8.235333333333333030e+02
6.825000000000000000e+02 4.754000000000000000e+03 7.093666666666666742e+02
6.975000000000000000e+02 4.348000000000000000e+03 6.299666666666666970e+02
7.125000000000000000e+02 3.849000000000000000e+03 5.449333333333332803e+02
7.275000000000000000e+02 3.339000000000000000e+03 4.534666666666666401e+02
7.425000000000000000e+02 3.060000000000000000e+03 4.100666666666666629e+02
7.575000000000000000e+02 2.610000000000000000e+03 3.330333333333333599e+02
7.725000000000000000e+02 2.312000000000000000e+03 2.856666666666666856e+02
7.875000000000000000e+02 2.070000000000000000e+03 2.441999999999999886e+02
8.025000000000000000e+02 1.833000000000000000e+03 2.088333333333333428e+02
8.175000000000000000e+02 1.676000000000000000e+03 1.768000000000000114e+02
8.325000000000000000e+02 1.405000000000000000e+03 1.469333333333333371e+02
8.475000000000000000e+02 1.274000000000000000e+03 1.265333333333333314e+02
8.625000000000000000e+02 1.181000000000000000e+03 1.064000000000000057e+02
8.775000000000000000e+02 1.053000000000000000e+03 9.353333333333333144e+01
8.925000000000000000e+02 8.310000000000000000e+02 6.733333333333332860e+01
9.075000000000000000e+02 8.230000000000000000e+02 6.333333333333333570e+01
9.225000000000000000e+02 7.690000000000000000e+02 5.673333333333333428e+01
9.375000000000000000e+02 6.500000000000000000e+02 4.713333333333333286e+01
9.525000000000000000e+02 5.740000000000000000e+02 3.739999999999999858e+01
